run,scenario,regime,Mean_Savings,Median_Savings,Savings_Rate,Gini_Wealth
0,baseline,US,68434982.65325049,1728435.2397632124,38.05143090022254,0.9367601471304052
1,baseline,US,46371712.39504182,1453257.0647574025,35.06289676588468,0.9290675463597426
2,baseline,US,56491621.37481582,1802388.8143296703,34.10858476757514,0.9325197075796039
3,baseline,US,58949475.70987613,1638731.3786868062,29.13045665313689,0.9330584380386671
4,baseline,US,59561586.99959282,1697117.0175271037,36.32974868130053,0.9346728757156657
5,baseline,US,42045543.25127875,1512464.4196324542,44.40501182497004,0.9137236324916016
6,baseline,US,50671529.98293014,1660310.4649354415,36.95909378411269,0.915875770071876
7,baseline,US,69713815.98246175,1464873.2943772844,26.792352124276253,0.9475782669592832
8,baseline,US,53910382.64518413,1767410.6845040563,33.52254275057614,0.9289941818918592
9,baseline,US,44211271.03200438,1457003.871785459,31.14576253515646,0.933510146242958
10,baseline,US,56372481.946557544,1781855.275599868,28.401291618059727,0.9271128137936391
11,baseline,US,32429352.7876448,1719583.3159366655,33.33112640619274,0.9106990115906186
12,baseline,US,55107870.2062412,1700720.5750337124,26.08489396395051,0.9304186948283868
13,baseline,US,56737894.17002623,1761082.3522971363,33.56161389436196,0.9311739884393231
14,baseline,US,54855699.29435527,1754099.6801019856,35.16587386206007,0.9249937955504355
15,baseline,US,55864579.48667882,1508164.0165936393,33.18523668205973,0.9313049176942807
16,baseline,US,56602335.508657224,1615912.545945961,32.42509056932505,0.9298000085619451
17,baseline,US,45809924.43297763,1614369.4584627748,33.374801427129455,0.9228504511695752
18,baseline,US,45570559.67842859,1743738.3109133656,35.498451921161184,0.9195458904694924
19,baseline,US,48614322.529291615,1866663.6601406878,31.112394776161086,0.9224253884677034
20,baseline,US,60737561.41973601,1630446.2645792062,29.94187763093236,0.9391445980514856
21,baseline,US,42290697.776672445,1594185.8570940918,36.522010717848275,0.9198196053652135
22,baseline,US,56913688.62839768,1755767.3083792012,30.70056822007965,0.931280523418039
23,baseline,US,84618128.58754024,1589519.4539639386,28.333751321048467,0.9460662626751779
24,baseline,US,63413755.634834506,1636641.0975498776,34.11913666866169,0.9239479063016973
25,baseline,US,52919043.631435305,1520520.438634,35.78231820792913,0.9285437780701757
26,baseline,US,48798810.97345103,1727986.0756900217,29.09788428825871,0.9253166076558543
27,baseline,US,48736404.50200328,1641585.756088687,28.678375055073,0.9180733831360754
28,baseline,US,75411262.21973096,1724067.996427205,29.250259007374233,0.9362263701096141
29,baseline,US,45410225.75088301,1631800.9198570666,28.97119913079766,0.9225726747402863
30,baseline,US,29606087.530067477,1635393.8251339176,30.677059045090136,0.8949582606457485
31,baseline,US,79013586.18008947,1765525.4949481064,28.272454281266153,0.9346869250223917
32,baseline,US,44561575.89611125,1595887.7478336482,38.7037846773477,0.9170256458491051
